sku,product_name,order_count
PB-IWWFR,Intermountain West Wildfire Resistant Mix - 1 Acre,1
W-SPCO2-0.5-LB,Coulter's Globemallow - 0.5lbs,1
W-MOFI-0.5-LB,Wild Bergamot - 0.5lbs,1
W-GRCA-N-0.25-LB,Gum Plant - 0.25lbs,1
,Winterfat - 1 lb,1
W-ASSP,Showy Milkweed - 1 Pack,1
,Compact Bioswale Mix - 10 lbs,1
PG-PAMI-50-LB,White Proso Millet - 50 lbs,1
W-SPAM-0.5-LB,Desert Globemallow - 0.5lbs,1
W-ARPL,Prickly Poppy - 1 Pack,1
PB-MWP,Mid-West/Mid-Atlantic Pollinator Mix - 2000 ft²,1
PB-GLP,Great Lakes/New England Pollinator Mix - 1000 ft²,1
,Drummond Phlox - 1 Pack,1
W-SPAM-1-LB,Desert Globemallow - 1lbs,1
W-PEEA-1-LB,Firecracker Penstemon - 1lbs,1
W-PEPA2-1-LB,Parry Penstemon - 1lbs,1
,Tansy Aster - 0.25lbs,1
,Yellow Beeplant - 1lbs,1
W-HEAU-0.25-LB,Sneezeweed - 0.25lbs,1
W-SEMA2-0.25-LB,Maryland Senna - 0.25lbs,1
W-LISP,Spiked Gayfeather - 1 Pack,1
PG-ASCI,Cicer Milkvetch - 10 lbs,1
W-LODI,Fernleaf Biscuitroot - 0.5lbs,1
W-DIPU-0.25-LB,Purple Foxglove - 0.25lbs,1
W-ASTU-0.5-LB,Butterfly Milkweed - 0.5lbs,1
W-ENFA-0.5-LB-OLD,Brittlebush - 0.5lbs,1
W-PEPA-1-LB,Palmer's Penstemon - 1lbs,1
W-SPMU,Munro Globemallow - 50 Pack,1
W-HILA6,Woolly Rose Mallow - 50 Pack,1
W-VETE,Moss Verbena - 1 Pack,1
,Southern Subtropics Pollinator Mix - 500 ft²,1
PG-ATLE-10-LB,Quailbush - 10 lbs,1
W-SACO-0.25-LB,Scarlet Sage - 0.25lbs,1
,Icelandic Poppy - 0.25lbs,1
,Intermountain West Pollinator Mix - 2000 ft²,1
,Foxtail Millet - 10 lbs,1
W-OEHO,Hooker's Evening Primrose - 1 Pack,1
,San Diego Sunflower - 1lbs,1
PG-PAMI,White Proso Millet - 25 lbs,1
,Southern Subtropics Pollinator Mix - 2000 ft²,1
,Intermountain West Pollinator Mix - 5000 ft²,1
,Siberian Wheatgrass - 50 lbs,1
,Southern Subtropics Pollinator Mix - 1000 ft²,1
W-ASLA,Smooth Aster - 1 Pack,1
W-SIAR,Sweet William Catchfly - 1 Pack,1
W-GRST3-N-1-LB,Coastal Gumweed - 1lbs,1
,White Evening Primrose - 1 Pack,1
,Berseem Clover - 50 lbs,1
W-PHIM-N,Imbricate Phacelia - 1 Pack,1
,Four-Wing Saltbush - 1 lb,1
W-GRST3-N,Coastal Gumweed - 1 Pack,1
PG-ARFR-1-LB,Fringed Sagewort - 1 lb,1
,Desert Daisy - 1 Pack,1
W-ESME,Mexican Gold Poppy - 1 Pack,1
PG-KALE-1-LB,Kale - 1 lb,1
W-SPMU-1-LB,Munro Globemallow - 1lbs,1
W-MOPU-0.25-LB,Dotted Mint - 0.25lbs,1
W-NEMA-0.25-LB,Five Spot - 0.5lbs,1
W-MOCI-0.25-LB,Lemon Beebalm - 0.25lbs,1
W-VETE-1-LB,Moss Verbena - 1lbs,1
W-SPMU-0.5-LB,Munro Globemallow - 0.5lbs,1
PB-MWP-5000-F,Mid-West/Mid-Atlantic Pollinator Mix - 5000 ft²,1
W-LIGR-1-LB,Mountain Phlox - 1lbs,1
PG-LEST-50-LB,Common Lespedeza - 50 lbs,1
W-ZIAU-1-LB,Golden Alexander - 1lbs,1
PG-BROL-10-LB,Collards - 10 lbs,1
W-LUDE-N-1-LB,Golden Lupine - 1lbs,1
W-ASOB-1-LB,Aromatic Aster - 1lbs,1
W-PEPA-0.5-LB,Palmer's Penstemon - 0.5lbs,1
W-LODI-0.25-LB,Fernleaf Biscuitroot - 0.25lbs,1
